Site;Date;PE (kg);Gaz (kWh);Electricité (kWh);Gaz (kWh/kg);Electricité (kWh/kg)
PTWE35;2023-02-24;21776556.672000002;216000.0;193533.66666666666;0.0099189235127209;0.008887248318532819
PTWE42 Andrézieux;2023-02-24;1448640.0;833472.0;10143.749999999998;0.5753479125248508;0.0070022572895957575
PTWE89;2023-02-24;0.0;0.0;818.8333333333333;;
PTWE35;2023-02-25;0.0;0.0;599.75;;
PTWE42 Andrézieux;2023-02-25;0.0;0.0;179.16666666666669;;
PTWE89;2023-02-25;0.0;0.0;341.0;;
PTWE35;2023-02-26;0.0;4081536.0;592.4166666666666;;
PTWE42 Andrézieux;2023-02-26;0.0;85824.0;154.33333333333334;;
PTWE89;2023-02-26;0.0;0.0;363.0;;
PTWE35;2023-02-27;0.0;73528128.0;4431.5;;
PTWE42 Andrézieux;2023-02-27;100224.0;2219328.0;1654.25;22.14367816091954;0.016505527618135375
PTWE89;2023-02-27;789120.0;1766016.0;8277.666666666666;2.237956204379562;0.010489743849689105
PTWE35;2023-02-28;37541888.64000001;67633920.0;725718.6666666666;1.8015588040484898;0.019330904569713904
PTWE42 Andrézieux;2023-02-28;2008512.0;2395584.0;7216.0;1.192715801548609;0.003592709428671574
PTWE89;2023-02-28;345600.0;2750400.0;4540.666666666667;7.958333333333333;0.013138503086419754
PTWE35;2023-03-01;0.0;74162304.0;5414.416666666666;;
PTWE42 Andrézieux;2023-03-01;0.0;2865024.0;583.5;;
PTWE89;2023-03-01;760320.0;2060928.0;6630.25;2.7106060606060605;0.008720341435185186
PTWE35;2023-03-02;21606939.648000002;82411776.0;341941.3333333334;3.81413459483737;0.0158255328567544
PTWE42 Andrézieux;2023-03-02;1411200.0;2612736.0;6061.0;1.8514285714285714;0.004294926303854875
PTWE89;2023-03-02;0.0;669888.0;2073.166666666667;;
PTWE35;2023-03-03;24053386.752;72347904.0;337389.66666666674;3.0078052935304167;0.01402670111054583
PTWE42 Andrézieux;2023-03-03;1279872.0;2040192.0;6873.166666666666;1.5940594059405941;0.0053701984781811506
PTWE89;2023-03-03;0.0;1335168.0;992.6666666666665;;
PTWE35;2023-03-04;0.0;0.0;1256.4166666666665;;
PTWE42 Andrézieux;2023-03-04;0.0;0.0;145.58333333333334;;
PTWE89;2023-03-04;0.0;0.0;348.6666666666667;;
PTWE35;2023-03-05;0.0;5469120.0;662.0833333333333;;
PTWE42 Andrézieux;2023-03-05;0.0;0.0;139.66666666666666;;
PTWE89;2023-03-05;0.0;0.0;332.0833333333333;;
PTWE35;2023-03-06;28109693.952000003;82866240.0;301489.3333333333;2.9479595239102228;0.010725457696129856
PTWE42 Andrézieux;2023-03-06;1109952.0;3613824.0;7311.666666666666;3.2558380902957964;0.006587371946414499
PTWE89;2023-03-06;0.0;2852352.0;1647.0833333333333;;
PTWE35;2023-03-07;67856158.08;78276672.0;1244492.9166666663;1.153567696946747;0.01834016177572938
PTWE42 Andrézieux;2023-03-07;1321574.4;3442176.0;15263.166666666668;2.6046025104602513;0.011549229968942096
PTWE89;2023-03-07;0.0;2833920.0;2136.6666666666665;;
PTWE35;2023-03-08;22263811.2;77780736.0;402525.5;3.493594843276429;0.018079811061279573
PTWE42 Andrézieux;2023-03-08;1440576.0;2853504.0;14447.166666666668;1.9808076769292282;0.01002874313237668
PTWE89;2023-03-08;0.0;2856960.0;1456.5;;
PTWE35;2023-03-09;22923216.0;77706432.0;396713.3333333333;3.389857339389028;0.01730618135489075
PTWE42 Andrézieux;2023-03-09;1348416.0;2940480.0;12886.666666666666;2.1806920119607005;0.009556892432800165
PTWE89;2023-03-09;3465216.0;2804544.0;9829.166666666668;0.809341755319149;0.00283652351445528
PTWE35;2023-03-10;22472467.200000003;68128128.0;196743.33333333334;3.0316265407654033;0.00875486129681984
PTWE42 Andrézieux;2023-03-10;1054886.4;2499840.0;12248.833333333334;2.3697717593098178;0.011611518864337748
PTWE89;2023-03-10;0.0;1313280.0;647.9166666666666;;
PTWE35;2023-03-11;0.0;0.0;1265.8333333333333;;
PTWE42 Andrézieux;2023-03-11;0.0;0.0;150.91666666666669;;
PTWE89;2023-03-11;0.0;0.0;320.33333333333337;;
PTWE35;2023-03-12;0.0;5334336.0;570.1666666666666;;
PTWE42 Andrézieux;2023-03-12;0.0;303552.0;96.0;;
PTWE89;2023-03-12;0.0;0.0;291.0833333333333;;
PTWE35;2023-03-13;21739504.895999998;76904640.0;371463.75;3.537552504893992;0.01708703817207669
PTWE42 Andrézieux;2023-03-13;1260057.6;4449600.0;12575.0;3.531267142073505;0.009979702515186607
PTWE89;2023-03-13;1177344.0;2855808.0;6152.249999999999;2.4256360078277885;0.005225533064253098
PTWE35;2023-03-14;20585695.104;79550208.0;544347.9166666666;3.8643440310423443;0.026443018509532602
PTWE42 Andrézieux;2023-03-14;1849996.8;4128192.0;21250.0;2.2314589949560992;0.011486506355038019
PTWE89;2023-03-14;762220.8;2757312.0;17754.0;3.617471472833069;0.02329246328622887
PTWE35;2023-03-15;21563183.232;74075904.0;465401.8333333333;3.435295392290251;0.021583169253168145
PTWE42 Andrézieux;2023-03-15;1828339.2;3925440.0;21798.0;2.1469976687039254;0.011922295381513452
PTWE89;2023-03-15;528998.4;2641536.0;14014.583333333332;4.993466898954703;0.026492676222335136
PTWE35;2023-03-16;19042653.312;78675840.0;472925.00000000006;4.1315587019809525;0.024835037021966874
PTWE42 Andrézieux;2023-03-16;1607731.2;4142592.0;23725.166666666668;2.576669532817426;0.014756923711293697
PTWE89;2023-03-16;0.0;2660544.0;1651.25;;
PTWE35;2023-03-17;24612761.088;73521216.0;527652.6666666666;2.987117769401557;0.021438174481120068
PTWE42 Andrézieux;2023-03-17;1759449.6;2907648.0;23450.416666666664;1.6525895370915995;0.013328268491843508
PTWE89;2023-03-17;0.0;1861056.0;945.5;;
PTWE35;2023-03-18;0.0;0.0;1140.0833333333333;;
PTWE42 Andrézieux;2023-03-18;0.0;0.0;151.5;;
PTWE89;2023-03-18;0.0;0.0;273.4166666666667;;
PTWE35;2023-03-19;0.0;6791040.0;499.41666666666663;;
PTWE42 Andrézieux;2023-03-19;0.0;0.0;99.91666666666666;;
PTWE89;2023-03-19;0.0;0.0;275.75;;
PTWE35;2023-03-20;23555059.2;82978560.0;401169.1666666666;3.522748947283478;0.017031125384166585
PTWE42 Andrézieux;2023-03-20;1443110.4;4443264.0;18903.5;3.0789494691466435;0.013099136420886441
PTWE89;2023-03-20;1559232.0;2862720.0;28861.083333333332;1.8359807905430365;0.018509806964796344
PTWE35;2023-03-21;22689676.8;81800064.0;426538.0;3.6051665575068923;0.01879876931521563
PTWE42 Andrézieux;2023-03-21;1456128.0;4530240.0;22319.5;3.111155063291139;0.015327979408403657
PTWE89;2023-03-21;0.0;2841984.0;1442.4166666666665;;
PTWE35;2023-03-22;22346928.0;80555904.0;500607.99999999994;3.604786483403893;0.022401647331570584
PTWE42 Andrézieux;2023-03-22;1683648.0;4142592.0;22580.25;2.460485802257954;0.01341150287946174
PTWE89;2023-03-22;1445875.2;2719872.0;24841.916666666664;1.881125009959366;0.01718123159361656
PTWE35;2023-03-23;24766166.016;57886272.0;377446.50000000006;2.337312604728685;0.015240409022379707
PTWE42 Andrézieux;2023-03-23;1706688.0;4439808.0;22179.5;2.6014174822814713;0.012995638335770802
PTWE89;2023-03-23;0.0;2452032.0;1637.416666666667;;
PTWE35;2023-03-24;20068753.536;0.0;173037.33333333328;;0.008622226239558583
PTWE42 Andrézieux;2023-03-24;1816473.6;2906496.0;22207.5;1.600076103500761;0.012225611206240486
PTWE89;2023-03-24;766771.2;783936.0;4050.666666666666;1.0223858173076923;0.0052827579683048425
PTWE35;2023-03-25;0.0;0.0;489.25;;
PTWE42 Andrézieux;2023-03-25;0.0;0.0;126.91666666666666;;
PTWE89;2023-03-25;0.0;0.0;293.3333333333333;;
PTWE35;2023-03-26;0.0;3873384.0;481.41666666666663;;
PTWE42 Andrézieux;2023-03-26;0.0;655776.0;84.08333333333331;;
PTWE89;2023-03-26;0.0;0.0;280.91666666666663;;
PTWE35;2023-03-27;0.0;78902208.0;3916.166666666667;;
PTWE42 Andrézieux;2023-03-27;1343923.2;4182336.0;14525.5;3.112034973427053;0.01080828130655085
PTWE89;2023-03-27;0.0;2935296.0;2143.833333333333;;
PTWE35;2023-03-28;21181996.8;71418240.0;417128.1666666667;3.371648134702768;0.019692580005803168
PTWE42 Andrézieux;2023-03-28;1717401.6;3847680.0;18535.666666666664;2.2404078347196137;0.010792855128740222
PTWE89;2023-03-28;238970.88;2097216.0;18066.0;8.776031623602005;0.07559916923769122
PTWE35;2023-03-29;21637428.48;68997312.0;399105.00000000006;3.188794456964971;0.0184451216265788
PTWE42 Andrézieux;2023-03-29;2548454.4;4105152.0;22359.833333333336;1.610839887894404;0.008773880095062064
PTWE89;2023-03-29;597565.4400000001;2366208.0;18699.0;3.959747069710055;0.031291970298683934
PTWE35;2023-03-30;19968719.615999997;74782656.0;465400.0;3.7449900363206146;0.023306451738002113
PTWE42 Andrézieux;2023-03-30;1297728.0;4332672.0;16412.0;3.338659565024412;0.012646717956305174
PTWE89;2023-03-30;883768.3200000001;2725632.0;12699.0;3.0841024036706814;0.014369150503154491
PTWE35;2023-03-31;21595863.168;67360896.0;483132.75000000006;3.119157381021613;0.022371541542080584
PTWE42 Andrézieux;2023-03-31;2175552.0;3134016.0;22711.333333333336;1.4405612920307123;0.010439342903931203
PTWE89;2023-03-31;397440.0;1306368.0;2403.75;3.2869565217391306;0.006048082729468599
PTWE35;2023-04-01;21012480.0;0.0;112588.50000000001;;0.0053581728572733925
PTWE42 Andrézieux;2023-04-01;1824768.0;0.0;3950.833333333333;;0.002165115419238683
PTWE89;2023-04-01;0.0;0.0;251.91666666666669;;
PTWE35;2023-04-02;0.0;3084480.0;453.0;;
PTWE42 Andrézieux;2023-04-02;0.0;475200.0;131.41666666666666;;
PTWE89;2023-04-02;0.0;0.0;268.75;;
PTWE35;2023-04-03;0.0;77169024.0;4334.166666666667;;
PTWE42 Andrézieux;2023-04-03;0.0;4860864.0;863.4166666666666;;
PTWE89;2023-04-03;601148.16;2943360.0;17403.75;4.896230573175171;0.02895084965410191
PTWE35;2023-04-04;19787694.336;69320448.0;460404.00000000006;3.5032099658970597;0.023267187787633314
PTWE42 Andrézieux;2023-04-04;2162880.0;4041792.0;21533.75;1.8687083888149134;0.009956053965083592
PTWE89;2023-04-04;605249.2799999999;2855808.0;16866.75;4.718399665010755;0.027867443311952397
PTWE35;2023-04-05;19305347.328;60070464.0;336233.3333333333;3.1115971642154956;0.017416590731090798
PTWE42 Andrézieux;2023-04-05;2397312.0;3935232.0;20470.0;1.6415185007208073;0.0085387300443163
PTWE89;2023-04-05;601850.88;2860992.0;19062.75;4.753655922211163;0.031673543453155706
PTWE35;2023-04-06;15487161.984000001;66837312.0;408131.75;4.315659129093539;0.02635290768067426
PTWE42 Andrézieux;2023-04-06;2213568.0;3792960.0;17836.666666666668;1.7135050741608118;0.008057880610248553
PTWE89;2023-04-06;0.0;2776896.0;1820.0000000000002;;
PTWE35;2023-04-07;15380997.120000001;56308608.0;407331.8333333333;3.6609205216469083;0.026482797581678066
PTWE42 Andrézieux;2023-04-07;2247667.2;2160576.0;16157.333333333334;0.9612526267233867;0.00718849006353491
PTWE89;2023-04-07;832250.88;1213632.0;5733.75;1.458252588450252;0.006889449008452835
PTWE35;2023-04-08;0.0;81216.0;1079.0;;
PTWE42 Andrézieux;2023-04-08;0.0;0.0;164.41666666666669;;
PTWE89;2023-04-08;0.0;0.0;279.4166666666667;;
PTWE35;2023-04-09;0.0;0.0;392.0;;
PTWE42 Andrézieux;2023-04-09;0.0;0.0;122.25;;
PTWE89;2023-04-09;0.0;0.0;275.08333333333337;;
PTWE35;2023-04-10;0.0;2828736.0;449.75000000000006;;
PTWE42 Andrézieux;2023-04-10;0.0;770688.0;113.58333333333333;;
PTWE89;2023-04-10;0.0;0.0;592.8333333333334;;
PTWE35;2023-04-11;18346849.92;63194688.0;309570.0;3.4444435025933866;0.016873196289818454
PTWE42 Andrézieux;2023-04-11;1961510.4;3878208.0;11354.583333333334;1.9771539319903684;0.005788693923485359
PTWE89;2023-04-11;509760.0;1774656.0;5687.0;3.48135593220339;0.011156230382925299
PTWE35;2023-04-12;15544790.784;65539584.0;354406.25000000006;4.216176654333542;0.022799036341150672
PTWE42 Andrézieux;2023-04-12;2311488.0;3963456.0;14306.25;1.7146772987789685;0.00618919501204419
PTWE89;2023-04-12;584640.0;1839744.0;5154.25;3.1467980295566504;0.008816109058565955
PTWE35;2023-04-13;18058356.864;67310784.0;321275.5;3.7274035786825395;0.017790959743434608
PTWE42 Andrézieux;2023-04-13;2606400.0;3407040.0;18694.5;1.307182320441989;0.007172536832412523
PTWE89;2023-04-13;919710.72;2869632.0;13932.5;3.1201462999148255;0.01514878504406255
PTWE35;2023-04-14;18391121.28;55002240.0;333558.0;2.9906953014231874;0.01813690393976892
PTWE42 Andrézieux;2023-04-14;1656000.0;2564352.0;16808.0;1.548521739130435;0.01014975845410628
PTWE89;2023-04-14;369964.8;1717632.0;6886.0;4.642690331620738;0.018612581521269052
PTWE35;2023-04-15;0.0;0.0;1204.5833333333333;;
PTWE42 Andrézieux;2023-04-15;0.0;0.0;171.25;;
PTWE89;2023-04-15;0.0;0.0;277.91666666666663;;
PTWE35;2023-04-16;0.0;3780864.0;498.3333333333333;;
PTWE42 Andrézieux;2023-04-16;0.0;694656.0;155.75;;
PTWE89;2023-04-16;0.0;0.0;279.0833333333333;;
